# https://www.data.jma.go.jp/stats/etrn/index.php からつくばを指定してダウンロード。
# 各行の意味
# 年月日、 平均気温、平均気温品質情報、平均気温均質番号、 最高気温、最高気温品質情報、最高気温均質番号、 最低気温、最低気温品質情報、最低気温均質番号、
# 品質情報、均質番号については
# https://www.data.jma.go.jp/risk/obsdl/top/help3.html
#ダウンロードした時刻：2024/05/09 13:20:04
#
#,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
#年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
#,,,,,,,,,
#,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/1/1,3.5,8,1,13.2,8,1,-4.0,8,1
2023/1/2,3.2,8,1,10.8,8,1,-3.5,8,1
2023/1/3,4.5,8,1,10.9,8,1,-1.4,8,1
2023/1/4,3.6,8,1,10.6,8,1,-3.7,8,1
2023/1/5,3.7,8,1,9.9,8,1,-2.0,8,1
2023/1/6,2.3,8,1,9.5,8,1,-5.3,8,1
2023/1/7,3.7,8,1,10.1,8,1,-1.1,8,1
2023/1/8,4.3,8,1,11.9,8,1,-3.5,8,1
2023/1/9,5.3,8,1,13.9,8,1,-1.8,8,1
2023/1/10,3.6,8,1,8.5,8,1,-2.8,8,1
2023/1/11,1.7,8,1,10.5,8,1,-5.7,8,1
2023/1/12,3.1,8,1,12.7,8,1,-4.3,8,1
2023/1/13,5.9,8,1,15.0,8,1,-3.1,8,1
2023/1/14,6.5,8,1,10.6,8,1,1.5,8,1
2023/1/15,8.7,8,1,10.7,8,1,5.7,8,1
2023/1/16,4.8,8,1,7.1,8,1,-0.3,8,1
2023/1/17,1.7,8,1,6.4,8,1,-3.3,8,1
2023/1/18,6.5,8,1,12.1,8,1,2.6,8,1
2023/1/19,5.1,8,1,8.7,8,1,0.1,8,1
2023/1/20,7.1,8,1,12.2,8,1,3.1,8,1
2023/1/21,4.2,8,1,8.6,8,1,-1.9,8,1
2023/1/22,2.6,8,1,8.1,8,1,-1.5,8,1
2023/1/23,3.1,8,1,5.5,8,1,-0.4,8,1
2023/1/24,2.6,8,1,10.1,8,1,-2.6,8,1
2023/1/25,-1.5,8,1,2.4,8,1,-4.5,8,1
2023/1/26,1.4,8,1,8.8,8,1,-5.2,8,1
2023/1/27,2.2,8,1,5.9,8,1,-1.8,8,1
2023/1/28,0.8,8,1,6.9,8,1,-5.3,8,1
2023/1/29,0.2,8,1,8.3,8,1,-7.5,8,1
2023/1/30,2.3,8,1,10.5,8,1,-5.0,8,1
2023/1/31,2.6,8,1,7.7,8,1,-2.5,8,1
2023/2/1,3.8,8,1,13.3,8,1,-5.5,8,1
2023/2/2,4.5,8,1,9.7,8,1,-1.3,8,1
2023/2/3,3.3,8,1,6.3,8,1,-0.3,8,1
2023/2/4,5.0,8,1,11.2,8,1,0.3,8,1
2023/2/5,4.3,8,1,11.3,8,1,-2.8,8,1
2023/2/6,6.0,8,1,14.2,8,1,-1.3,8,1
2023/2/7,8.9,8,1,15.5,8,1,3.5,8,1
2023/2/8,7.7,8,1,12.1,8,1,1.4,8,1
2023/2/9,3.7,8,1,10.4,8,1,-1.9,8,1
2023/2/10,1.1,8,1,2.6,8,1,-2.6,8,1
2023/2/11,6.5,8,1,13.4,8,1,-0.7,8,1
2023/2/12,8.9,8,1,16.7,8,1,0.9,8,1
2023/2/13,6.9,8,1,9.0,8,1,2.8,8,1
2023/2/14,3.9,8,1,10.7,8,1,-2.1,8,1
2023/2/15,1.9,8,1,7.9,8,1,-4.0,8,1
2023/2/16,0.8,8,1,7.7,8,1,-6.8,8,1
2023/2/17,3.4,8,1,11.4,8,1,-3.5,8,1
2023/2/18,6.3,8,1,15.4,8,1,-2.6,8,1
2023/2/19,10.8,8,1,18.2,8,1,3.3,8,1
2023/2/20,8.1,8,1,13.9,8,1,0.1,8,1
2023/2/21,2.5,8,1,8.8,8,1,-2.3,8,1
2023/2/22,2.8,8,1,9.9,8,1,-5.2,8,1
2023/2/23,6.9,8,1,13.8,8,1,3.1,8,1
2023/2/24,7.4,8,1,12.4,8,1,2.0,8,1
2023/2/25,6.7,8,1,12.1,8,1,2.9,8,1
2023/2/26,4.8,8,1,11.0,8,1,-2.5,8,1
2023/2/27,5.2,8,1,13.9,8,1,-3.4,8,1
2023/2/28,9.0,8,1,18.6,8,1,-2.4,8,1
2023/3/1,11.8,8,1,19.0,8,1,2.4,8,1
2023/3/2,11.3,8,1,19.0,8,1,1.0,8,1
2023/3/3,5.5,8,1,12.2,8,1,-2.4,8,1
2023/3/4,8.9,8,1,15.8,8,1,1.5,8,1
2023/3/5,8.1,8,1,11.8,8,1,3.7,8,1
2023/3/6,8.0,8,1,13.8,8,1,4.3,8,1
2023/3/7,9.8,8,1,18.7,8,1,1.3,8,1
2023/3/8,11.7,8,1,22.1,8,1,2.3,8,1
2023/3/9,14.1,8,1,22.9,8,1,3.8,8,1
2023/3/10,16.6,8,1,23.0,8,1,7.3,8,1
2023/3/11,11.1,8,1,19.8,8,1,2.8,8,1
2023/3/12,12.3,8,1,18.4,8,1,4.1,8,1
2023/3/13,13.2,8,1,18.3,8,1,8.2,8,1
2023/3/14,8.2,8,1,13.7,8,1,4.2,8,1
2023/3/15,9.7,8,1,17.6,8,1,3.1,8,1
2023/3/16,13.3,8,1,21.0,8,1,4.7,8,1
2023/3/17,11.2,8,1,14.2,8,1,7.8,8,1
2023/3/18,7.3,8,1,9.0,8,1,5.2,8,1
2023/3/19,7.9,8,1,14.7,8,1,0.2,8,1
2023/3/20,11.9,8,1,18.7,8,1,3.1,8,1
2023/3/21,13.8,8,1,19.6,8,1,7.1,8,1
2023/3/22,15.3,8,1,21.6,8,1,9.4,8,1
